product_title,handle,status,product_type,collections,tags,variant_title,option_name,option_value,sku,price,compare_at_price,unit_cost,inventory_qty
St Paddy's Matchbox (14),st-pattys-matchbox,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,Yes,Add kit +$15 (Threads/Needles),Yes,,50.00,,,-3
Shamrock (14),shamrock-1,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-3
Shamrock (14),shamrock-1,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-37
Paw Print Intro Kit,paw-print-intro-kit,ACTIVE,Needlepoint Canvas,Canvases|Intro,,Default Title,Title,Default Title,,35.00,,,-39
Silver/Gold Embroidery Scissors,embroidery-scissors-1,ACTIVE,,Accessories,,Gold,Color,Gold,,8.00,,,326
Silver/Gold Embroidery Scissors,embroidery-scissors-1,ACTIVE,,Accessories,,Silver,Color,Silver,,8.00,,,40
Easter Basket (14),easter-basket,DRAFT,Needlepoint Canvas,Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Easter Basket (14),easter-basket,DRAFT,Needlepoint Canvas,Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-1
Easter Egg (14),easter-egg,DRAFT,Needlepoint Canvas,Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,2
Easter Egg (14),easter-egg,DRAFT,Needlepoint Canvas,Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,2
Matcha Needle Minder,matcha-needle-minder,ACTIVE,,Accessories|Needle Minders,,Default Title,Title,Default Title,,10.00,,,384
Avocado Needle Minder,avocado-needle-minder,ACTIVE,,Accessories|Needle Minders,,Default Title,Title,Default Title,,10.00,,,388
Balloon Dog Needle Minder,balloon-dog-needle-minder,ACTIVE,,Accessories|Needle Minders,,Default Title,Title,Default Title,,10.00,,,310
Pearl Shell Needle Minder,pearl-shell-needle-minder,ACTIVE,,Accessories|Needle Minders,,Default Title,Title,Default Title,,10.00,,,337
Hydrangea Needle Minder,hydrangea-needle-minder,ACTIVE,,Accessories|Needle Minders|Flowers,,Default Title,Title,Default Title,,10.00,,,238
Needlepoint Bear Needle Minder,needlepoint-bear-needle-minder,ACTIVE,,Accessories|Needle Minders,,Default Title,Title,Default Title,,10.00,,,365
Blank Canvas,blank-canvas,ACTIVE,Needlepoint Canvas,Canvases,,Default Title,Title,Default Title,,15.00,,,3
Crab,crab,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-1
Crab,crab,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-4
Hydrangea,hydrangeas,ACTIVE,Needlepoint Canvas,Canvases|18 Count Canvases|Flowers|Best Sellers,,No,Add kit +$15 (Threads/Needles),No,,50.00,,,-15
Hydrangea,hydrangeas,ACTIVE,Needlepoint Canvas,Canvases|18 Count Canvases|Flowers|Best Sellers,,Yes,Add kit +$15 (Threads/Needles),Yes,,65.00,,,0
Tulips,tulips,ACTIVE,Needlepoint Canvas,Canvases|18 Count Canvases|Flowers,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Tulips,tulips,ACTIVE,Needlepoint Canvas,Canvases|18 Count Canvases|Flowers,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-2
World Cup Ball,world-cup-trophy,DRAFT,Needlepoint Canvas,Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-18
World Cup Ball,world-cup-trophy,DRAFT,Needlepoint Canvas,Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-40
Watermelon,watermelon,ACTIVE,Needlepoint Canvas,Canvases|Fruit|18 Count Canvases,,No,Add kit +$10 (Threads/Needles),No,,40.00,,,0
Watermelon,watermelon,ACTIVE,Needlepoint Canvas,Canvases|Fruit|18 Count Canvases,,Yes,Add kit +$10 (Threads/Needles),Yes,,50.00,,,-7
Citgo Sign,citgo-sign,DRAFT,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston|Street Signs,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-6
Citgo Sign,citgo-sign,DRAFT,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston|Street Signs,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-34
Southie Sign,southie-sign,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston|Street Signs,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-6
Southie Sign,southie-sign,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston|Street Signs,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-15
Fenway Frank,fenway-frank,ACTIVE,Needlepoint Canvas,Boston|New England Sports|Canvases|18 Count Canvases|Best Sellers,Boston|Street Signs,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-22
Fenway Frank,fenway-frank,ACTIVE,Needlepoint Canvas,Boston|New England Sports|Canvases|18 Count Canvases|Best Sellers,Boston|Street Signs,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-55
Raincoat Pup,raincoat-pup,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Raincoat Pup,raincoat-pup,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,0
Boston Terrier,boston-terrier,ACTIVE,Needlepoint Canvas,Boston|New England Sports|Canvases|Playful Pups|18 Count Canvases,,No,Add kit +$10 (Threads/Needles),No,,40.00,,,-5
Boston Terrier,boston-terrier,ACTIVE,Needlepoint Canvas,Boston|New England Sports|Canvases|Playful Pups|18 Count Canvases,,Yes,Add kit +$10 (Threads/Needles),Yes,,50.00,,,-10
French Bulldog,farmers-market-pup,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
French Bulldog,farmers-market-pup,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,0
Cowboy Pup,cowboy-pup,DRAFT,Needlepoint Canvas,Canvases|Playful Pups|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
